context,p,decision
28,1,"[0.06351785194677316, 0.10236010646094987]"
28,2,"[0.09261760662215994, 0.17259396422624512]"
28,3,"[np.float64(0.046999436142690434), np.float64(0.18988627147522197)]"
29,0,"[np.float64(-0.12488272701175702), np.float64(0.09960208512280559)]"
29,1,"[-0.004028477160201438, 0.06607080725967314]"
29,2,"[-0.09757723469124911, 0.024105931330552742]"
29,3,"[np.float64(-0.1282721419629972), np.float64(0.09229167805487035)]"
30,0,"[np.float64(-0.14892321802743066), np.float64(-0.2184573808274667)]"
30,1,"[0.014932247234344878, -0.12363523416831715]"
30,2,"[-0.08432810405989624, -0.221674300716663]"
